Entity,Code,Year,Buddhists,Hindus,Muslims,Jews,Christians,No religion,Other religions
Kuwait,KWT,2010,< 10000,220000,2430000,< 10000,280000,< 10000,< 10000
Kuwait,KWT,2020,< 10000,370000,3530000,< 10000,460000,10000,20000
Kyrgyzstan,KGZ,2010,< 10000,< 10000,4970000,< 10000,420000,90000,< 10000
Kyrgyzstan,KGZ,2020,< 10000,< 10000,6110000,< 10000,380000,80000,90000
Laos,LAO,2010,4050000,< 10000,< 10000,< 10000,40000,< 10000,2230000
Laos,LAO,2020,4710000,< 10000,< 10000,< 10000,110000,< 10000,2510000
Latin America-Caribbean (Pew),PEW_LAC,2010,340000,660000,710000,450000,530230000,46140000,9950000
Latin America-Caribbean (Pew),PEW_LAC,2020,330000,700000,750000,390000,546920000,77150000,20000000
Latvia,LVA,2010,< 10000,< 10000,10000,< 10000,1740000,230000,110000
Latvia,LVA,2020,< 10000,< 10000,10000,< 10000,1470000,320000,90000
Lebanon,LBN,2010,< 10000,< 10000,3140000,< 10000,1710000,< 10000,190000
Lebanon,LBN,2020,< 10000,< 10000,3870000,< 10000,1590000,< 10000,240000
Lesotho,LSO,2010,< 10000,< 10000,< 10000,< 10000,1940000,30000,20000
Lesotho,LSO,2020,< 10000,< 10000,< 10000,< 10000,2180000,40000,20000
Liberia,LBR,2010,< 10000,< 10000,490000,< 10000,3480000,60000,30000
Liberia,LBR,2020,< 10000,< 10000,660000,< 10000,4390000,50000,50000
Libya,LBY,2010,20000,< 10000,6290000,< 10000,170000,< 10000,< 10000
Libya,LBY,2020,20000,< 10000,6970000,< 10000,40000,< 10000,< 10000
Lithuania,LTU,2010,< 10000,< 10000,< 10000,< 10000,2860000,210000,20000
Lithuania,LTU,2020,< 10000,< 10000,< 10000,< 10000,2580000,200000,20000
Luxembourg,LUX,2010,< 10000,< 10000,< 10000,< 10000,380000,100000,20000
Luxembourg,LUX,2020,< 10000,< 10000,10000,< 10000,420000,160000,40000
Macao,MAC,2010,110000,< 10000,< 10000,< 10000,60000,380000,10000
Macao,MAC,2020,130000,< 10000,< 10000,< 10000,70000,460000,20000
Madagascar,MDG,2010,< 10000,10000,140000,< 10000,15520000,4980000,1520000
Madagascar,MDG,2020,< 10000,20000,340000,< 10000,21490000,6460000,650000
Malawi,MWI,2010,< 10000,< 10000,1720000,< 10000,12890000,140000,60000
Malawi,MWI,2020,< 10000,10000,2260000,< 10000,17070000,180000,10000
Malaysia,MYS,2010,5680000,1800000,17570000,< 10000,2650000,480000,480000
Malaysia,MYS,2020,6400000,2070000,21730000,< 10000,3100000,290000,300000
Maldives,MDV,2010,< 10000,< 10000,340000,< 10000,< 10000,< 10000,< 10000
Maldives,MDV,2020,< 10000,10000,470000,< 10000,< 10000,< 10000,< 10000
Mali,MLI,2010,< 10000,< 10000,14990000,< 10000,550000,220000,180000
Mali,MLI,2020,< 10000,< 10000,20440000,< 10000,560000,550000,170000
Malta,MLT,2010,< 10000,< 10000,< 10000,< 10000,410000,10000,< 10000
Malta,MLT,2020,< 10000,< 10000,20000,< 10000,460000,30000,< 10000
Martinique,MTQ,2010,< 10000,< 10000,< 10000,< 10000,380000,< 10000,< 10000
Martinique,MTQ,2020,< 10000,< 10000,< 10000,< 10000,340000,< 10000,< 10000
Mauritania,MRT,2010,< 10000,< 10000,3360000,< 10000,< 10000,< 10000,20000
Mauritania,MRT,2020,< 10000,< 10000,4560000,< 10000,10000,< 10000,20000
Mauritius,MUS,2010,< 10000,620000,220000,< 10000,420000,< 10000,< 10000
Mauritius,MUS,2020,< 10000,620000,220000,< 10000,420000,< 10000,< 10000
Mayotte,MYT,2010,< 10000,< 10000,200000,< 10000,< 10000,< 10000,< 10000
Mayotte,MYT,2020,< 10000,< 10000,280000,< 10000,< 10000,< 10000,< 10000
Mexico,MEX,2010,10000,< 10000,< 10000,70000,107960000,5490000,80000
Mexico,MEX,2020,20000,< 10000,< 10000,60000,113070000,13480000,150000
Micronesia (country),FSM,2010,< 10000,< 10000,< 10000,< 10000,110000,< 10000,< 10000
Micronesia (country),FSM,2020,< 10000,< 10000,< 10000,< 10000,110000,< 10000,< 10000
Middle East-North Africa (Pew),PEW_MENA,2010,60000,1990000,334180000,5770000,11800000,1320000,510000
Middle East-North Africa (Pew),PEW_MENA,2020,90000,3220000,414110000,6790000,12920000,1860000,700000
Moldova,MDA,2010,< 10000,< 10000,< 10000,< 10000,3550000,50000,20000
Moldova,MDA,2020,< 10000,< 10000,< 10000,< 10000,3050000,< 10000,< 10000
Mongolia,MNG,2010,1460000,< 10000,90000,< 10000,60000,1010000,90000
Mongolia,MNG,2020,1680000,< 10000,120000,< 10000,40000,1340000,100000
Montenegro,MNE,2010,< 10000,< 10000,120000,< 10000,490000,< 10000,< 10000
Montenegro,MNE,2020,< 10000,< 10000,130000,< 10000,460000,< 10000,< 10000
Morocco,MAR,2010,< 10000,< 10000,32360000,< 10000,30000,40000,30000
Morocco,MAR,2020,< 10000,< 10000,36470000,< 10000,30000,50000,40000
Mozambique,MOZ,2010,< 10000,< 10000,4140000,< 10000,12960000,4360000,1540000
Mozambique,MOZ,2020,< 10000,< 10000,5980000,< 10000,18880000,4400000,1510000
Myanmar,MMR,2010,42960000,280000,2240000,< 10000,3040000,30000,470000
Myanmar,MMR,2020,47210000,230000,1770000,< 10000,3250000,30000,510000
Namibia,NAM,2010,< 10000,< 10000,< 10000,< 10000,2030000,< 10000,70000
Namibia,NAM,2020,< 10000,< 10000,< 10000,< 10000,2470000,150000,100000
Nepal,NPL,2010,2470000,22290000,1200000,< 10000,380000,< 10000,990000
Nepal,NPL,2020,2380000,23520000,1470000,< 10000,510000,< 10000,1090000
Netherlands,NLD,2010,40000,80000,840000,30000,7170000,7640000,980000
Netherlands,NLD,2020,50000,100000,970000,30000,6190000,9540000,750000
New Caledonia,NCL,2010,< 10000,< 10000,< 10000,< 10000,220000,30000,< 10000
New Caledonia,NCL,2020,< 10000,< 10000,< 10000,< 10000,240000,30000,< 10000
New Zealand,NZL,2010,70000,100000,50000,< 10000,2140000,1920000,70000
New Zealand,NZL,2020,60000,140000,70000,< 10000,2040000,2600000,150000
Nicaragua,NIC,2010,< 10000,< 10000,< 10000,< 10000,4990000,720000,30000
Nicaragua,NIC,2020,< 10000,< 10000,< 10000,< 10000,5570000,870000,120000
Niger,NER,2010,< 10000,< 10000,16310000,< 10000,180000,40000,10000
Niger,NER,2020,< 10000,< 10000,23270000,< 10000,130000,290000,20000
Nigeria,NGA,2010,< 10000,< 10000,90890000,< 10000,73980000,710000,1060000
Nigeria,NGA,2020,< 10000,< 10000,119980000,< 10000,92770000,810000,430000
North America,OWID_NAM,2010,402,267,399,614,44573,7457,592
North America,OWID_NAM,2020,510,397,603,617,42846,13891,900
North America (Pew),PEW_NAM,2010,3960000,2330000,3880000,6050000,266490000,59340000,3200000
North America (Pew),PEW_NAM,2020,5050000,3620000,5910000,6090000,237630000,114130000,5180000
North Korea,PRK,2010,380000,< 10000,< 10000,< 10000,100000,18200000,6300000
North Korea,PRK,2020,400000,< 10000,< 10000,< 10000,100000,19040000,6590000
North Macedonia,MKD,2010,< 10000,< 10000,680000,< 10000,1340000,30000,< 10000
